modele	moteur	alias	ctx	t_s	ttft_ms	W	j_kJ	jetons	chargement_s	etat	apercu	J	J_net	W_repos	j_kJ_net	plafond_W	horloge_min	horloge_max	temp_max	bridages	dispersion_pct	invalidations
Huihui-Qwen3.6-35B-A3B-Opus-abl-Q4_K_M	acvram	acvram-huihui-qwen3-6-35b-a3b-opus-abl-q4-k-m	8192	293.9	231	184	1593	200	39	ok	</think>	186.4	96.5	88.9	2072.5	675.0	210	2842	38	aucun	21.3	dispersion des 3 passages : 21.3 %
Huihui-Qwen3.6-35B-A3B-abliterated-Q4_K_M	acvram	acvram-huihui-qwen3-6-35b-a3b-abliterated-q4-k-m	8192	159.2	227	130	1226	40	42	ok	</think> </think> La mémoire virtuelle est un mécanisme qui permet à u	131.2	42.3	88.0	945.7	675.0	210	2827	40	aucun	26.0	dispersion des 3 passages : 26.0 %
Qwen3-Coder-Next-heretic-Q3_K_S	acvram	acvram-qwen3-coder-next-80b	8192	13.4	1244	184	72	200	139	ok	Bien sûr ! Voici une explication détaillée sur **comment fonctionne la	3139.1	466.8	157.0	428.5	675.0	1755	2842	39	aucun	1.3	aucune
Qwen3.8-27B-heretic-ara-Q6_K	acvram	acvram-qwen3-8-27b-heretic-ara-q6-k	8192	61.7	262	270	228	200	39	ok	We need answer in French detailed multiple paragraphs explaining how v	1083.2	723.5	89.7	276.4	675.0	210	2827	47	puissance	5.2	bridage pendant la fenêtre : puissance ; dispersion des 3 passages : 5.2 %
Qwen3.8-27B-heretic-ara-exl3-5.0bpw	acvram	acvram-qwen3-8-27b-heretic-ara-exl3-5-0bpw	8192	49.4	274	271	182	200	38	ok	Nous devons répondre en français, en détail, plusieurs paragraphes, su	1360.4	914.2	89.0	218.8	675.0	210	2827	47	puissance	4.9	bridage pendant la fenêtre : puissance
Huihui-Qwen3.6-35B-A3B-Opus-abl-Q4_K_M	llamacpp	llamacpp-qwen36-35b-opus	8192	208.5	79	171	1218	200	376	ok	I'm working through the key concepts of virtual memory in modern opera	344.4	164.2	89.6	1217.9	675.0	210	2842	44	aucun	5.2	dispersion des 3 passages : 5.2 %
Huihui-Qwen3.6-35B-A3B-abliterated-Q4_K_M	llamacpp	llamacpp-qwen36-35b-abl	8192	208.4	79	174	1197	200	312	ok	Here's a thinking process: 1. **Analyze User Input:** - **Topic:** Vir	350.7	172.3	88.6	1160.7	675.0	210	2842	44	aucun	5.5	dispersion des 3 passages : 5.5 %
Qwen3-Coder-Next-heretic-Q3_K_S	llamacpp	llamacpp-qwen3-coder-next	8192	154.5	95	271	569	200	413	ok	La mémoire virtuelle est un mécanisme fondamental des systèmes d’explo	544.4	230.8	156.3	866.7	675.0	1755	2842	42	aucun	1.0	aucune
Qwen3.8-27B-heretic-ara-Q6_K	llamacpp	llamacpp-qwen38-27b-ara	8192	42.3	150	348	122	200	395	ok	Nous devons répondre en français, en détail, plusieurs paragraphes, ex	1742.9	1297.5	88.9	154.1	675.0	210	2610	46	puissance	12.8	bridage pendant la fenêtre : puissance ; dispersion des 3 passages : 12.8 %
Qwen3.8-27B-heretic-ara-exl3-5.0bpw	tabby	tabby-qwen38-27b-ara	8192	46.7	333	311	150	199	197	ok	Nous devons répondre en français, en détail, plusieurs paragraphes, su	1559.9	1113.1	89.1	178.8	675.0	210	2662	46	puissance	0.3	bridage pendant la fenêtre : puissance
