modele	emplacement	architecture	num_layers	full_attention	linear_attention	mla	num_experts	classification	anomalies
gemma4-12b-heretic-gguf	mnt-ai-generator	Gemma4ForCausalLM	48	48	0	non	0	quadratique	
lfm-8b-a1b-bf16	mnt-ai-generator	Lfm2MoeForCausalLM	24	6	18	non	32	hybride	
nemo-12b-thinking-exl3	mnt-ai-generator	MistralForCausalLM	40	?	?	non	0	quadratique	
phi4-bf16-pur	mnt-ai-generator	Phi3ForCausalLM	40	?	?	non	0	quadratique	
phi4-temoin-int8	mnt-ai-generator	Phi3ForCausalLM	40	?	?	non	0	quadratique	
qwen3-0.6b-bf16	mnt-ai-generator	Qwen3ForCausalLM	28	?	?	non	0	quadratique	
qwen3-coder-30b-bf16	mnt-ai-generator	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
qwen3-coder-next-80b	mnt-ai-generator	LlamaForCausalLM	48	12	36	non	512	hybride	
qwen3-coder-next-80b-q3n	mnt-ai-generator	LlamaForCausalLM	48	12	36	non	512	hybride	
qwen3.6-12b-temoin-int8	mnt-ai-generator	LlamaForCausalLM	24	6	18	non	0	hybride	
qwen36-27b-heretic-exl3	mnt-ai-generator	Qwen3_5ForConditionalGeneration	64	16	48	non	0	hybride	
AWAXIS-Think-31B-nvfp4	parc-reference	Gemma4ForCausalLM	60	60	0	non	0	quadratique	
AgentWorld-35B-A3B-Heretic-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Agents-4B-kimi-bf16	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Agents-A1-4B-kimi-nvfp4	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Agents-A1-4B-kimi-quotaleve-nvfp4	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Agents-A1-4B-kimi-temoin-nvfp4	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Cydonia-24B-srcexl3-nvfp4	parc-reference	MistralForCausalLM	40	?	?	non	0	quadratique	
Cydonia-Magnum-Diamond-24B-srcEXL3_6_0bpw-nvfp4	parc-reference	MistralForCausalLM	40	?	?	non	0	quadratique	
DeepSeek-Coder-V2-Lite-Instruct-nvfp4	parc-reference	DeepseekV2ForCausalLM	27	27	0	oui	64	MLA	
DeepSeek-R1-Distill-Llama-70B-heretic-srci1_Q4_K_M-nvfp4	parc-reference	LlamaForCausalLM	80	?	?	non	0	quadratique	
DeepSeek-R1-Distill-Qwen-32B-srcQ4_K_M-nvfp4	parc-reference	Qwen2ForCausalLM	64	?	?	non	0	quadratique	
Dolphin-Mistral-GLM47-24B-Venice-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	?	?	non	0	quadratique	
Falcon-H1R-7B-int8	parc-reference	FalconH1ForCausalLM	44	44	0	non	0	quadratique	
GLM-4.7-Flash-nvfp4	parc-reference	DeepseekV2ForCausalLM	47	47	0	oui	64	MLA
GLM-4.7-Flash-srcbf16-nvfp4	parc-reference	DeepseekV2ForCausalLM	47	47	0	oui	64	MLA
GLM-4.7-Grande-Heretic-42B-srcQ4_K_M-nvfp4	parc-reference	DeepseekV2ForCausalLM	66	66	0	oui	64	MLA	
Hermes-4-70B-heretic-srci1_Q4_K_M-nvfp4	parc-reference	LlamaForCausalLM	80	?	?	non	0	quadratique	
Huihui-Nex-N2-mini-abliterated-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Huihui-Qwen3.6-35B-A3B-Opus-abl-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Huihui-Qwen3.6-35B-A3B-abliterated-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Huihui-Qwen3.8-27B-abliterated-srcQ5_K-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Jan-code-4b-srcQ4_K_M-nvfp4	parc-reference	Qwen3ForCausalLM	36	?	?	non	0	quadratique	
Jan-v2-VL-high-srcQ4_K_M-nvfp4	parc-reference	Qwen3ForCausalLM	36	?	?	non	0	quadratique	
Jan-v2-VL-max-srcQ4_K_M-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Jan-v2-VL-med-srcQ4_K_M-nvfp4	parc-reference	Qwen3ForCausalLM	36	?	?	non	0	quadratique	
Jan-v3-4b-base-instruct-srcQ4_K_M-nvfp4	parc-reference	Qwen3ForCausalLM	36	?	?	non	0	quadratique	
Jan-v3.5-4B-srcQ4_K_M-nvfp4	parc-reference	Qwen3ForCausalLM	36	?	?	non	0	quadratique	
KAT-Coder-V2.5-Dev-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Kimi-Linear-35B-kda-nvfp4	parc-reference	KimiLinearForCausalLM	27	7	20	oui	180	mixte	
LFM2.5-8B-A1B-nvfp4	parc-reference	Lfm2MoeForCausalLM	24	6	18	non	32	hybride	
Llama-3.3-70B-Instruct-heretic-srci1_Q4_K_M-nvfp4	parc-reference	LlamaForCausalLM	80	?	?	non	0	quadratique	
Mistral-Nemo-12B-Heretic-nvfp4	parc-reference	MistralForCausalLM	40	?	?	non	0	quadratique	
NVIDIA-Nemotron-3-Nano-30B-A3B-heretic-srcQ5_K_M-nvfp4	parc-reference	NemotronHForCausalLM	52	6	23	non	128	hybride	
Nemo-12B-Claude-nvfp4	parc-reference	MistralForCausalLM	40	?	?	non	0	quadratique	
Nemotron-3.5-Lightning-30B-A3B-Heretic-Uncensored-srcQ6_K-nvfp4	parc-reference	NemotronHForCausalLM	52	6	23	non	128	hybride	
Nemotron-3.5-Lightning-30B-A3B-srcexl3_6bpw-nvfp4	parc-reference	NemotronHForCausalLM	52	6	23	non	128	hybride	
Nemotron-Cascade-2-30B-A3B-heretic-ara-srcQ5_K_M-nvfp4	parc-reference	NemotronHForCausalLM	52	6	23	non	128	hybride	
Nemotron-Lightning-30B-nvfp4	parc-reference	NemotronHForCausalLM	52	6	23	non	128	hybride	
Nemotron-Nano-9B-int8	parc-reference	NemotronHForCausalLM	56	4	27	non	0	hybride	
Ornith-1.0-35B-kimi-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Ornith-1.5-35B-A3B-Heretic-APEX-I-Quality-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Qwen-3.8-27B-Heretic-srci1_Q5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen2.5-Coder-14B-pur-bf16	parc-reference	Qwen2ForCausalLM	48	?	?	non	0	quadratique	
Qwen2.5-Coder-14B-pur-nvfp4	parc-reference	Qwen2ForCausalLM	48	?	?	non	0	quadratique	
Qwen2.5-Coder-14B-pur-nvfp4-sansawq	parc-reference	Qwen2ForCausalLM	48	?	?	non	0	quadratique	
Qwen2.5-Coder-3B-nvfp4	parc-reference	Qwen2ForCausalLM	36	?	?	non	0	quadratique	
Qwen2.5-Coder-7B-nvfp4	parc-reference	Qwen2ForCausalLM	28	?	?	non	0	quadratique	
Qwen3-0.6B-srcgguf-bf16	parc-reference	Qwen3ForCausalLM	28	?	?	non	0	quadratique	
Qwen3-14B-nvfp4	parc-reference	Qwen3ForCausalLM	40	?	?	non	0	quadratique	
Qwen3-30B-A3B-Thinking-2507-srcAWQ-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Qwen3-30B-A3B-abliterated-erotic-srcAWQ-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Qwen3-4B-srcgguf-nvfp4	parc-reference	Qwen3ForCausalLM	36	?	?	non	0	quadratique	
Qwen3-Coder-30B-A3B-Instruct-srcQ4_K_M-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Qwen3-Coder-30B-A3B-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Qwen3-Coder-30B-A3B-src4_0bpw_EXL3-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Qwen3-Coder-30B-abliterated-srcEXL3_5_0bpw-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
Qwen3-VL-2B-texte-bf16	parc-reference	Qwen3ForCausalLM	28	?	?	non	0	quadratique	
Qwen3-VL-30B-A3B-abliterated-srcAWQ-nvfp4	parc-reference	Qwen3VLMoeForConditionalGeneration	0	?	?	non	128	quadratique	
Qwen3-VL-32B-Instruct-heretic-v2-srcGGUF-nvfp4	parc-reference	Qwen3ForCausalLM	64	?	?	non	0	quadratique	
Qwen3.5-35B-A3B-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Qwen3.5-4B-NSFW-Heretic-Literotica-srcQ6_K-nvfp4	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Qwen3.5-4B-heretic-srcexl3-nvfp4	parc-reference	Qwen3_5ForConditionalGeneration	32	8	24	non	0	hybride	
Qwen3.5-9B-Uncensored-HauhauCS-Aggressive-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Qwen3.6-12B-IQ-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	24	6	18	non	0	hybride	
Qwen3.6-27B-Fable-Fusion-711-Heretic-MTP-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.6-27B-Fable-Fusion-711-Heretic-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.6-27B-Fable-Fusion-Uncensored-Heretic-srcEXL3_4_15bpw-nvfp4	parc-reference	Qwen3_5ForConditionalGeneration	64	16	48	non	0	hybride	
Qwen3.6-27B-Heretic-GLM52-Q5-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.6-35B-A3B-uncensored-heretic-APEX-I-Quality-nvfp4	parc-reference	LlamaForCausalLM	40	10	30	non	256	hybride	
Qwen3.8-27B-ABLITERATED-srcEXL3_3_75bpw-nvfp4	parc-reference	Qwen3_5ForConditionalGeneration	64	16	48	non	0	hybride	
Qwen3.8-27B-Dominatrix-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-Fable-Distill-Heretic-ara-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-Heretic-Abliterated-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-Heretic-RVN-vision-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-Uncensored-noMTP-srcQ5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-heretic-ara-srcQ6_K-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-heretic-ara-srcexl3_5_0bpw-nvfp4	parc-reference	Qwen3_5ForConditionalGeneration	64	16	48	non	0	hybride	
Qwen3.8-27B-srcUD_Q5_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
Qwen3.8-27B-srcexl3_6_00bpw-nvfp4	parc-reference	Qwen3_5ForConditionalGeneration	64	16	48	non	0	hybride	
Qwen3B-pipeline-nvfp4	parc-reference	Qwen2ForCausalLM	36	?	?	non	0	quadratique	
QwenPaw-Flash-9B-heretic-srcQ4_K_L-nvfp4	parc-reference	LlamaForCausalLM	32	8	24	non	0	hybride	
Skyfall-31B-v4.2-heretic-srcexl3_4_0bpw-nvfp4	parc-reference	MistralForCausalLM	54	?	?	non	0	quadratique	
ThinkingCap-Qwen3.6-27B-heretic-srcQ4_K_M-nvfp4	parc-reference	LlamaForCausalLM	64	16	48	non	0	hybride	
ariel-alloy-v1-24b-heretic-srcq4_k_m-nvfp4	parc-reference	LlamaForCausalLM	40	?	?	non	0	quadratique	
coder-30b-srcawq-nvfp4	parc-reference	Qwen3MoeForCausalLM	48	?	?	non	128	quadratique	
deepseek-coder-6.7b-nvfp4	parc-reference	LlamaForCausalLM	32	?	?	non	0	quadratique	
devstral-24b-srcawq-nvfp4	parc-reference	MistralForCausalLM	40	?	?	non	0	quadratique	
dolphin-venice-24b-nvfp4	parc-reference	MistralForCausalLM	40	?	?	non	0	quadratique	
ernie-21b-a3b-nvfp4	parc-reference	Ernie4_5_MoeForCausalLM	28	?	?	non	64	quadratique	
gemma-4-26B-A4B-heretic-APEX-I-Quality-nvfp4	parc-reference	Gemma4ForCausalLM	30	30	0	non	128	quadratique	
gemma-4-26B-A4B-it-ultra-uncensored-heretic-srcQ4_K_XL-nvfp4	parc-reference	Gemma4ForCausalLM	30	30	0	non	128	quadratique	
gemma-4-31B-it-uncensored-heretic-srcQ4_K_M-nvfp4	parc-reference	Gemma4ForCausalLM	60	60	0	non	0	quadratique	
granite-4.1-30b-nvfp4	parc-reference	GraniteForCausalLM	64	?	?	non	0	quadratique	
lfm25-8b-a1b-srcexl3-nvfp4	parc-reference	Lfm2MoeForCausalLM	24	6	18	non	32	hybride	
lfm25-8b-a1b-srciq3m-nvfp4	parc-reference	Lfm2MoeForCausalLM	24	6	18	non	32	hybride	
muse-glimmer-30b-nvfp4	parc-reference	MuseGlimmerForConditionalGeneration	52	52	0	non	0	quadratique	
nemotron-lightning-heretic-srcexl3-nvfp4	parc-reference	NemotronHForCausalLM	52	6	23	non	128	hybride	
nemotron-nano-9b-abliterated-int8	parc-reference	NemotronHForCausalLM	56	4	27	non	0	hybride	
phi-4-nvfp4	parc-reference	Phi3ForCausalLM	40	?	?	non	0	quadratique	
poe-8b-glm5-nvfp4	parc-reference	Qwen3VLForConditionalGeneration	36	?	?	non	0	quadratique	
qwen25-coder-14b-srcexl3-nvfp4	parc-reference	Qwen2ForCausalLM	48	?	?	non	0	quadratique	
qwen35-9b-abliterated-srcexl3-nvfp4	parc-reference	Qwen3_5ForConditionalGeneration	32	8	24	non	0	hybride	
qwen36-35b-a3b-opus-nvfp4	parc-reference	Qwen3_5MoeForConditionalGeneration	40	10	30	non	256	hybride	
starcoder2-15b-int8	parc-reference	Starcoder2ForCausalLM	40	?	?	non	0	quadratique	
temoin-3B-bf16	parc-reference	Qwen2ForCausalLM	36	?	?	non	0	quadratique	
temoin-3B-nvfp4	parc-reference	Qwen2ForCausalLM	36	?	?	non	0	quadratique	
